"No.","Time","Source","Destination","Protocol","Length","Info"
"836","144.332585600","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","50122  >  5222 [ACK] Seq=2725 Ack=2767 Win=64768 Len=0"
"837","144.341397900","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  51866 [ACK] Seq=2444 Ack=2724 Win=73472 Len=0"
"838","144.408353900","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","483","50122  >  5222 [PSH, ACK] Seq=2725 Ack=2767 Win=64768 Len=409"
"839","144.488995900","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","5222  >  50122 [ACK] Seq=2767 Ack=3134 Win=76032 Len=0"
"840","144.829616500","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","798","5222  >  50122 [PSH, ACK] Seq=2767 Ack=3134 Win=76032 Len=724 [TCP PDU reassembled in 1107]"
"841","144.831975600","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","139","50122  >  5222 [PSH, ACK] Seq=3134 Ack=3491 Win=65280 Len=65"
"842","144.899243100","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","5222  >  50122 [ACK] Seq=3491 Ack=3199 Win=76032 Len=0"
"843","147.038404500","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"846","147.569567000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"847","147.571196700","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0002 A instagram.com"
"848","147.575691800","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","109","Standard query response 0x0002 A instagram.com A 57.144.40.34"
"849","147.581905400","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0003 AAAA instagram.com"
"850","147.587164400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","121","Standard query response 0x0003 AAAA instagram.com AAAA 2a03:2880:f311:22:face:b00c:0:4420"
"851","148.689427900","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","396","Application Data"
"852","148.689427900","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","432","Application Data"
"853","148.689563200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TCP","74","61498  >  443 [ACK] Seq=1261 Ack=12425 Win=253 Len=0"
"854","148.693407100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"855","148.693659700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"856","148.791447500","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  61498 [ACK] Seq=12425 Ack=1331 Win=16383 Len=0"
"857","148.791447500","2404:6800:4002:820::2003","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","[TCP Retransmission] 80  >  51849 [FIN, ACK] Seq=1 Ack=1 Win=1052 Len=0"
"858","149.375671900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"859","149.507168900","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"860","149.509555300","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","90","Standard query 0x0002 A google.com"
"861","149.514195100","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","106","Standard query response 0x0002 A google.com A 142.250.192.206"
"862","149.518606800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","90","Standard query 0x0003 AAAA google.com"
"863","149.523137700","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","118","Standard query response 0x0003 AAAA google.com AAAA 2404:6800:4002:822::200e"
"864","152.579468100","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","98","Application Data"
"865","152.579903600","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","TLSv1.2","102","Application Data"
"866","152.681946600","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  56195 [ACK] Seq=193 Ack=225 Win=16 Len=0"
"867","152.792710600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"868","152.886930400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"869","152.888485600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0002 A instagram.com"
"870","152.914515500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","109","Standard query response 0x0002 A instagram.com A 57.144.40.34"
"871","152.919115500","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0003 AAAA instagram.com"
"872","152.930834000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","121","Standard query response 0x0003 AAAA instagram.com AAAA 2a03:2880:f311:22:face:b00c:0:4420"
"873","154.331138900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"874","154.423073700","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"875","154.424894200","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0002 A facebook.com"
"876","154.524922500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","108","Standard query response 0x0002 A facebook.com A 57.144.40.1"
"877","154.530315700","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0003 AAAA facebook.com"
"878","154.534690500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","120","Standard query response 0x0003 AAAA facebook.com AAAA 2a03:2880:f311:1:face:b00c:0:25de"
"879","155.602903000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"880","155.856234300","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"881","155.857845400","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0002 A youtube.com"
"882","155.862586600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","107","Standard query response 0x0002 A youtube.com A 142.250.67.206"
"883","155.868173300","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0003 AAAA youtube.com"
"884","155.872722300","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","119","Standard query response 0x0003 AAAA youtube.com AAAA 2404:6800:4009:813::200e"
"885","156.520105600","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2606:4700:8392:7cbc:c20c:86a:5ff2:75c4","TCP","75","[TCP Keep-Alive] 52801  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"886","156.675024300","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","723","Application Data"
"887","156.675024300","2606:4700:8392:7cbc:c20c:86a:5ff2:75c4","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","86","[TCP Keep-Alive ACK] 443  >  52801 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"888","156.689967500","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"889","156.690126100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"890","156.712623500","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"891","156.778446500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"892","156.778446500","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  61498 [ACK] Seq=13074 Ack=1401 Win=16388 Len=0"
"893","156.780866000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0002 A instagram.com"
"894","156.785062300","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","109","Standard query response 0x0002 A instagram.com A 57.144.40.34"
"895","156.789845000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0003 AAAA instagram.com"
"896","156.794673700","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","121","Standard query response 0x0003 AAAA instagram.com AAAA 2a03:2880:f311:22:face:b00c:0:4420"
"897","156.924692600","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","143","50122  >  5222 [PSH, ACK] Seq=3199 Ack=3491 Win=65280 Len=69"
"898","156.936505900","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","98","Application Data"
"899","156.937043800","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","TLSv1.2","102","Application Data"
"900","157.236423500","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","143","[TCP Retransmission] 50122  >  5222 [PSH, ACK] Seq=3199 Ack=3491 Win=65280 Len=69"
"901","157.312929400","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","TCP","102","[TCP Retransmission] 49805  >  443 [PSH, ACK] Seq=197 Ack=193 Win=255 Len=28"
"902","157.321992000","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","98","[TCP Spurious Retransmission] 443  >  49805 [PSH, ACK] Seq=169 Ack=197 Win=16 Len=24"
"903","157.321992000","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  49805 [ACK] Seq=193 Ack=225 Win=16 Len=0"
"904","157.321992000","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","5222  >  50122 [ACK] Seq=3491 Ack=3268 Win=76032 Len=0"
"905","157.321992000","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","[TCP Dup ACK 904#1] 5222  >  50122 [ACK] Seq=3491 Ack=3268 Win=76032 Len=0"
"906","157.322104900","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","TCP","86","[TCP Dup ACK 899#1] 49805  >  443 [ACK] Seq=225 Ack=193 Win=255 Len=0 SLE=169 SRE=193"
"907","157.390991300","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","86","[TCP Dup ACK 903#1] 443  >  49805 [ACK] Seq=193 Ack=225 Win=16 Len=0 SLE=197 SRE=225"
"908","157.596968000","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","145","5222  >  50122 [PSH, ACK] Seq=3491 Ack=3268 Win=76032 Len=71 [TCP PDU reassembled in 1107]"
"909","157.596968000","150.171.22.12","172.20.10.6","TLSv1.2","93","Application Data"
"910","157.610782700","172.20.10.6","150.171.22.12","TLSv1.2","89","Application Data"
"911","157.611034400","172.20.10.6","150.171.22.12","TLSv1.2","89","Application Data"
"912","157.640963700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","50122  >  5222 [ACK] Seq=3268 Ack=3562 Win=65280 Len=0"
"913","157.671664400","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6401 Ack=15943 Win=16386 Len=0"
"914","157.888787800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"915","158.010867700","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"916","158.013067600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","90","Standard query 0x0002 A google.com"
"917","158.017932800","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","106","Standard query response 0x0002 A google.com A 142.250.192.206"
"918","158.022121800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","90","Standard query 0x0003 AAAA google.com"
"919","158.026211600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","118","Standard query response 0x0003 AAAA google.com AAAA 2404:6800:4002:822::200e"
"920","158.804185000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"921","158.927702100","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"922","158.929357800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0002 A instagram.com"
"923","158.933638900","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","109","Standard query response 0x0002 A instagram.com A 57.144.40.34"
"924","158.939177300","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0003 AAAA instagram.com"
"925","158.943402000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","121","Standard query response 0x0003 AAAA instagram.com AAAA 2a03:2880:f311:22:face:b00c:0:4420"
"926","159.516761100","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"927","159.644994400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"928","159.647511800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0002 A facebook.com"
"931","159.653378100","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","108","Standard query response 0x0002 A facebook.com A 57.144.40.1"
"932","159.657997600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0003 AAAA facebook.com"
"933","159.662033800","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","120","Standard query response 0x0003 AAAA facebook.com AAAA 2a03:2880:f311:1:face:b00c:0:25de"
"934","160.180483300","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"935","160.361316600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"936","160.362779800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0002 A youtube.com"
"937","160.367189900","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","107","Standard query response 0x0002 A youtube.com A 142.250.67.206"
"938","160.372863400","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0003 AAAA youtube.com"
"939","160.377059900","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","119","Standard query response 0x0003 AAAA youtube.com AAAA 2404:6800:4009:813::200e"
"940","160.804818200","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"941","160.975852600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"942","160.977528000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0002 A instagram.com"
"943","160.982256200","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","109","Standard query response 0x0002 A instagram.com A 57.144.40.34"
"944","160.986682500","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0003 AAAA instagram.com"
"945","160.991189800","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","121","Standard query response 0x0003 AAAA instagram.com AAAA 2a03:2880:f311:22:face:b00c:0:4420"
"946","161.409575700","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"947","161.713752400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"950","161.715987000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","90","Standard query 0x0002 A google.com"
"951","161.724816500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","106","Standard query response 0x0002 A google.com A 142.250.192.206"
"952","161.729276900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","90","Standard query 0x0003 AAAA google.com"
"953","161.734383500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","118","Standard query response 0x0003 AAAA google.com AAAA 2404:6800:4002:822::200e"
"954","162.014234600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"955","162.205463600","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"956","162.207456600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0002 A instagram.com"
"957","162.224174700","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","109","Standard query response 0x0002 A instagram.com A 57.144.40.34"
"958","162.229136100","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0003 AAAA instagram.com"
"959","162.233169800","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","121","Standard query response 0x0003 AAAA instagram.com AAAA 2a03:2880:f311:22:face:b00c:0:4420"
"960","162.577930700","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"961","162.717077400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"962","162.719039900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0002 A facebook.com"
"963","162.723576400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","108","Standard query response 0x0002 A facebook.com A 57.144.40.1"
"964","162.728041200","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0003 AAAA facebook.com"
"965","162.732443800","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","120","Standard query response 0x0003 AAAA facebook.com AAAA 2a03:2880:f311:1:face:b00c:0:25de"
"966","163.138506600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"967","163.228800800","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"968","163.230757900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0002 A youtube.com"
"969","163.235350700","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","107","Standard query response 0x0002 A youtube.com A 142.250.67.206"
"970","163.239848900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0003 AAAA youtube.com"
"971","163.244509000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","119","Standard query response 0x0003 AAAA youtube.com AAAA 2404:6800:4009:813::200e"
"972","163.726650900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"973","163.843173000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"974","163.844951500","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0002 A instagram.com"
"975","163.849292300","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","109","Standard query response 0x0002 A instagram.com A 57.144.40.34"
"976","163.853608600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","93","Standard query 0x0003 AAAA instagram.com"
"977","163.857703500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","121","Standard query response 0x0003 AAAA instagram.com AAAA 2a03:2880:f311:22:face:b00c:0:4420"
"978","164.150268100","2404:6800:4002:820::2003","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","[TCP Retransmission] 80  >  51849 [FIN, ACK] Seq=1 Ack=1 Win=1052 Len=0"
"979","164.293332200","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
